dataset,model,att,precision,recall,f1
0,cbow,rbf,89.4,86.8,87.4
1,cbow,rbf,79.3,72.4,74.2
2,cbow,rbf,84.7,83.8,84.1
0,sg,rbf,88.1,87.3,87.5
1,sg,rbf,75.8,72.8,73.0
2,sg,rbf,85.3,85.4,84.9
0,cbow,att,87.9,85.3,85.9
1,cbow,att,77.4,70.8,72.2
2,cbow,att,82.6,81.7,82.0
0,sg,att,87.9,86.6,86.9
1,sg,att,77.4,74.4,74.8
2,sg,att,85.9,86.1,85.9
0,cbow,cosine,87.8,85.1,85.7
1,cbow,cosine,78.1,70.4,72.3
2,cbow,cosine,85.5,84.7,85.0
0,sg,cosine,86.8,85.6,85.9
1,sg,cosine,78.7,76.0,76.4
2,sg,cosine,86.8,87.0,86.8
0,cbow,mean,87.8,84.6,85.3
1,cbow,mean,77.7,71.2,72.6
2,cbow,mean,84.2,83.1,83.4
0,sg,mean,88.3,87.3,87.6
1,sg,mean,76.0,73.2,73.5
2,sg,mean,85.5,85.6,85.1
